,lat,lon,value,year,hot days
1083625,47.375,8.5416666666666661,0,2029,10
1105845,47.375,8.5416666666666661,0,2030,13
1128065,47.375,8.5416666666666661,1,2031,12
1150285,47.375,8.5416666666666661,0,2032,5
1172505,47.375,8.5416666666666661,2,2033,24
1194725,47.375,8.5416666666666661,1,2034,24
1216945,47.375,8.5416666666666661,0,2035,24
1239165,47.375,8.5416666666666661,0,2036,11
1261385,47.375,8.5416666666666661,0,2037,1
1283605,47.375,8.5416666666666661,0,2038,16
1305825,47.375,8.5416666666666661,2,2039,25
1328045,47.375,8.5416666666666661,0,2040,8
1350265,47.375,8.5416666666666661,1,2041,23
1372485,47.375,8.5416666666666661,0,2042,12
1394705,47.375,8.5416666666666661,0,2043,8
1416925,47.375,8.5416666666666661,0,2044,14
1439145,47.375,8.5416666666666661,0,2045,5
1461365,47.375,8.5416666666666661,2,2046,20
1483585,47.375,8.5416666666666661,0,2047,12
1505805,47.375,8.5416666666666661,0,2048,6
1528025,47.375,8.5416666666666661,0,2049,1
1550245,47.375,8.5416666666666661,0,2050,8
1572465,47.375,8.5416666666666661,0,2051,22
1594685,47.375,8.5416666666666661,1,2052,8
1616905,47.375,8.5416666666666661,0,2053,32
1639125,47.375,8.5416666666666661,0,2054,11
1661345,47.375,8.5416666666666661,0,2055,17
1683565,47.375,8.5416666666666661,0,2056,7
1705785,47.375,8.5416666666666661,0,2057,9
1728005,47.375,8.5416666666666661,0,2058,7
1750225,47.375,8.5416666666666661,1,2059,16
1772445,47.375,8.5416666666666661,0,2060,1
1794665,47.375,8.5416666666666661,0,2061,9
1816885,47.375,8.5416666666666661,0,2062,8
1839105,47.375,8.5416666666666661,0,2063,11
1861325,47.375,8.5416666666666661,0,2064,9
1883545,47.375,8.5416666666666661,0,2065,3
1905765,47.375,8.5416666666666661,1,2066,15
1927985,47.375,8.5416666666666661,0,2067,19
1950205,47.375,8.5416666666666661,1,2068,19
1972425,47.375,8.5416666666666661,0,2069,19
1994645,47.375,8.5416666666666661,0,2070,30
2016865,47.375,8.5416666666666661,1,2071,31
2039085,47.375,8.5416666666666661,4,2072,30
2061305,47.375,8.5416666666666661,1,2073,25
2083525,47.375,8.5416666666666661,0,2074,11
2105745,47.375,8.5416666666666661,2,2075,16
2127965,47.375,8.5416666666666661,1,2076,21
2150185,47.375,8.5416666666666661,0,2077,2
2172405,47.375,8.5416666666666661,0,2078,17
2194625,47.375,8.5416666666666661,9,2079,51
2216845,47.375,8.5416666666666661,5,2080,34
2239065,47.375,8.5416666666666661,0,2081,22
2261285,47.375,8.5416666666666661,0,2082,6
2283505,47.375,8.5416666666666661,0,2083,6
2305725,47.375,8.5416666666666661,0,2084,9
2327945,47.375,8.5416666666666661,0,2085,14
2350165,47.375,8.5416666666666661,1,2086,12
2372385,47.375,8.5416666666666661,0,2087,2
2394605,47.375,8.5416666666666661,1,2088,17
2416825,47.375,8.5416666666666661,0,2089,11
2439045,47.375,8.5416666666666661,0,2090,14
2461265,47.375,8.5416666666666661,1,2091,21
2483485,47.375,8.5416666666666661,0,2092,13
2505705,47.375,8.5416666666666661,0,2093,2
2527925,47.375,8.5416666666666661,0,2094,13
2550145,47.375,8.5416666666666661,0,2095,5
2572365,47.375,8.5416666666666661,0,2096,23
2594585,47.375,8.5416666666666661,0,2097,19
2616805,47.375,8.5416666666666661,0,2098,8
2639025,47.375,8.5416666666666661,0,2099,9
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
