,lat,lon,value,year,hot_days
1456912,46.958333333333336,7.4375,0,2046,14
1479132,46.958333333333336,7.4375,0,2047,11
1501352,46.958333333333336,7.4375,0,2048,3
1523572,46.958333333333336,7.4375,0,2049,0
1545792,46.958333333333336,7.4375,0,2050,8
1568012,46.958333333333336,7.4375,0,2051,16
1590232,46.958333333333336,7.4375,0,2052,5
1612452,46.958333333333336,7.4375,3,2053,30
1634672,46.958333333333336,7.4375,0,2054,8
1656892,46.958333333333336,7.4375,0,2055,18
1679112,46.958333333333336,7.4375,0,2056,4
1701332,46.958333333333336,7.4375,0,2057,6
1723552,46.958333333333336,7.4375,0,2058,6
1745772,46.958333333333336,7.4375,0,2059,14
1767992,46.958333333333336,7.4375,0,2060,1
1790212,46.958333333333336,7.4375,0,2061,9
1812432,46.958333333333336,7.4375,0,2062,7
1834652,46.958333333333336,7.4375,0,2063,12
1856872,46.958333333333336,7.4375,0,2064,8
1879092,46.958333333333336,7.4375,0,2065,4
1901312,46.958333333333336,7.4375,1,2066,18
1923532,46.958333333333336,7.4375,0,2067,20
1945752,46.958333333333336,7.4375,0,2068,18
1967972,46.958333333333336,7.4375,0,2069,17
1990192,46.958333333333336,7.4375,0,2070,20
2012412,46.958333333333336,7.4375,1,2071,35
2034632,46.958333333333336,7.4375,1,2072,25
2056852,46.958333333333336,7.4375,1,2073,24
2079072,46.958333333333336,7.4375,0,2074,10
2101292,46.958333333333336,7.4375,1,2075,16
2123512,46.958333333333336,7.4375,0,2076,18
2145732,46.958333333333336,7.4375,0,2077,2
2167952,46.958333333333336,7.4375,0,2078,15
2190172,46.958333333333336,7.4375,3,2079,38
2212392,46.958333333333336,7.4375,3,2080,23
2234612,46.958333333333336,7.4375,0,2081,14
2256832,46.958333333333336,7.4375,0,2082,3
2279052,46.958333333333336,7.4375,0,2083,7
2301272,46.958333333333336,7.4375,0,2084,7
2323492,46.958333333333336,7.4375,0,2085,14
2345712,46.958333333333336,7.4375,0,2086,11
2367932,46.958333333333336,7.4375,0,2087,2
2390152,46.958333333333336,7.4375,0,2088,12
2412372,46.958333333333336,7.4375,0,2089,14
2434592,46.958333333333336,7.4375,0,2090,11
2456812,46.958333333333336,7.4375,0,2091,17
2479032,46.958333333333336,7.4375,0,2092,12
2501252,46.958333333333336,7.4375,0,2093,3
2523472,46.958333333333336,7.4375,0,2094,11
2545692,46.958333333333336,7.4375,0,2095,3
2567912,46.958333333333336,7.4375,0,2096,20
2590132,46.958333333333336,7.4375,0,2097,19
2612352,46.958333333333336,7.4375,0,2098,8
2634572,46.958333333333336,7.4375,0,2099,8
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
